"Contact ID","campaign_id","parent_campaign_id","Campaign LaunchTime","Email Opened Time","country","state","Email Opened"
109549,9073,8958,"2020-06-03 07:00:00","2020-06-06 21:51:00",NULL,NULL,"1"
110422,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:07:00",NULL,NULL,"1"
150107,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00","United States","Oregon","1"
71930,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
71965,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:00:00",NULL,NULL,"1"
151792,9556,8955,"2020-06-17 07:00:00","2020-07-01 10:21:00",NULL,NULL,"1"
71835,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
111220,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:12:00",NULL,NULL,"1"
72001,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:25:00",NULL,NULL,"1"
72339,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
151174,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00","United States","Oregon","1"
87658,9073,8958,"2020-06-03 07:00:00","2020-06-03 08:38:00",NULL,NULL,"1"
109533,9072,8956,"2020-05-21 07:00:00","2020-05-21 07:19:00",NULL,NULL,"1"
71821,8351,8350,"2020-03-24 11:00:00","2020-04-07 10:40:00",NULL,NULL,"1"
108757,9073,8958,"2020-06-03 07:00:00","2020-06-03 08:05:00",NULL,NULL,"1"
150445,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:50:00",NULL,NULL,"1"
151369,9556,8955,"2020-06-17 07:00:00","2020-07-01 21:15:00",NULL,NULL,"1"
109135,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
72431,8351,8350,"2020-03-24 11:00:00","2020-04-07 13:57:00",NULL,NULL,"1"
109029,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Wyoming","1"
108893,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:06:00",NULL,NULL,"1"
109868,9556,8955,"2020-06-17 07:00:00","2020-06-24 12:29:00",NULL,NULL,"1"
72045,8351,8350,"2020-03-24 11:00:00","2020-04-14 10:06:00",NULL,NULL,"1"
72083,8351,8350,"2020-03-24 11:00:00","2020-04-07 11:12:00",NULL,NULL,"1"
72383,8351,8350,"2020-03-24 11:00:00","2020-04-14 11:04:00",NULL,NULL,"1"
151639,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:15:00","United Kingdom","England","1"
151928,9556,8955,"2020-06-17 07:00:00","2020-06-24 06:27:00",NULL,NULL,"1"
151991,9556,8955,"2020-06-17 07:00:00","2020-06-24 06:36:00",NULL,NULL,"1"
60202,8351,8350,"2020-03-24 11:00:00","2020-04-14 16:32:00",NULL,NULL,"1"
72093,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:05:00",NULL,NULL,"1"
112669,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Texas","1"
109549,9072,8956,"2020-05-21 07:00:00","2020-05-21 22:33:00",NULL,NULL,"1"
110193,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
151227,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:11:00",NULL,NULL,"1"
72227,8351,8350,"2020-03-24 11:00:00","2020-03-31 07:04:00",NULL,NULL,"1"
